zinc_id,new_smile,tanimoto_sim,cluster
20258057,O=C(c1c[nH]c(=O)[nH]1)N1CCNCC1,0.33299999999999996,13
42420199,CCOC(=O)C(=O)N1CCNCC1,0.337,13
2456218,O=C(O)C(=O)N1CCNCC1,0.33799999999999997,13
8700976,NC(=O)C(=O)N1CCNCC1,0.321,13
36949583,C[C@@H](O)C(=O)N1CCNCC1,0.304,13
34978177,O=C(CO)N1CCNCC1,0.312,13
2456219,O=C(O)CC(=O)N1CCNCC1,0.33799999999999997,13
39570052,O=C(c1nc[nH]n1)N1CCNCC1,0.31,13
36949582,C[C@H](O)C(=O)N1CCNCC1,0.304,13
4219193,CC(C)NC(=O)C(=O)N1CCNCC1,0.314,13
2540620,CCC(=O)N1CCNCC1,0.34700000000000003,13
21813116,Cc1nc(C(=O)N2CCNCC2)no1,0.318,13
8074996,CCNC(=O)N1CCNCC1,0.32899999999999996,13
49804554,NC(=O)[C@@H](N)c1ccccn1,0.304,10
33432836,O=C(c1cnccn1)N1CCNCC1,0.326,13
358623,O=C(O)CCC(=O)N1CCNCC1,0.321,13
38218624,CNC(=O)N1CCNCC1,0.312,13
49804555,NC(=O)[C@H](N)c1ccccn1,0.304,10
75545248,Nc1nnnn1-c1ccccn1,0.386,10
9596201,O=c1[nH]cnn(-c2ccccn2)c1=O,0.34600000000000003,10
19230119,CC(=O)N1CCNCC1,0.315,13
12357505,Cn1nccc1C(=O)N1CCNCC1,0.349,13
68592496,CSc1nn(C)c(N)c1C(N)=O,0.385,10
59926741,O=C(c1cc[nH]n1)N1CCNCC1,0.341,13
2578511,Cn1ccc(C(=O)N2CCNCC2)n1,0.349,13
435489,Cc1cc(=O)n2ccc(N)c(O)c2n1,0.544,5
105610,Cc1ccoc1C(=O)N1CCNCC1,0.365,13
20248613,Cc1cc(C(=O)N2CCNCC2)on1,0.349,13
104018,O=C1CCC(=O)N1c1ccccn1,0.303,10
13207464,NC(=O)c1ccc2nccn2c1,0.33299999999999996,12
32223066,NNc1nccc(-c2cccnc2)n1,0.303,1
59999801,O=C(O)c1cn(-c2ccccn2)cn1,0.321,10
388048,NC(=O)c1ccccn1,0.33899999999999997,10
251609,O=C(c1cccnc1)N1CCNCC1,0.341,13
235748,O=C(c1ccccc1)N1CCNCC1,0.35600000000000004,13
5940839,Nc1cc(=O)[nH]n1-c1ccccn1,0.33799999999999997,10
9494322,Cn1cccc1C(=O)N1CCNCC1,0.365,13
21954288,Cc1occc1C(=O)N1CCNCC1,0.415,13
6118993,O=C(c1ccccn1)N1CCNCC1,0.341,13
1728786,O=c1[nH]cc(-c2ccccc2)c(=O)[nH]1,0.316,15
91875,CSc1ncccc1C(N)=O,0.34299999999999997,10
31560695,Nc1cnn(-c2ccccn2)c1,0.32899999999999996,10
34071108,Nc1ccn(-c2ccccn2)n1,0.34700000000000003,10
391883,Oc1cc(O)cc(O)c1,0.304,7
6658061,O=C(O)c1cnn(-c2ccccn2)c1,0.321,10
91301510,Nc1nc(C(=O)O)c2ccccc2n1,0.312,9
95351785,Cc1cccn2c(=O)cc(O)nc12,0.304,5
4506088,CN[C@@H]1C(=O)Nc2ccccc2C1=O,0.314,24
40516920,Nc1ncn(-c2ccccn2)n1,0.34700000000000003,10
20213825,O=C(c1ccc[nH]1)N1CCNCC1,0.35700000000000004,13
37737479,NNc1ccccc1C(N)=O,0.304,21
20248621,Cc1ccc(C(=O)N2CCNCC2)o1,0.381,13
83351150,O=C(O)C1CN(c2ccccn2)C1,0.307,10
93069,CNc1ccccc1C(N)=O,0.319,21
300824,Cc1cc(=O)n2cccc(O)c2n1,0.431,5
96919296,O=C(O)c1cncn1-c1ccccn1,0.316,10
2566024,O=Cc1cc(O)cc(O)c1,0.34299999999999997,7
37245389,Nc1ccnn1-c1ccccn1,0.386,10
4218870,O=C(c1ccncc1)N1CCNCC1,0.35600000000000004,13
3913687,CN1CC(=O)Nc2ccccc2C1=O,0.31,24
63772334,c1ccc(-n2ncc3c2CNC3)nc1,0.313,10
20284265,O=C(c1ccsc1)N1CCNCC1,0.35700000000000004,13
12390021,NC(=O)c1nc(-c2ccccn2)no1,0.304,10
20282500,O=C(c1ccoc1)N1CCNCC1,0.35700000000000004,13
155007,CCOC(=O)N1CCNCC1,0.312,13
236148,O=C(c1ccco1)N1CCNCC1,0.35700000000000004,13
19271102,CCCC(=O)N1CCNCC1,0.312,13
