lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL535,CHEMBL4121,"CaM kinase II beta",Q13554,5.5,Kd,325093,9,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Average Binding Constant for CAMK2B; NA=Not Active at 10 uM"
CHEMBL428690,CHEMBL4121,"CaM kinase II beta",Q13554,5.58,Kd,325093,9,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,"Average Binding Constant for CAMK2B; NA=Not Active at 10 uM"
CHEMBL388978,CHEMBL4121,"CaM kinase II beta",Q13554,8.52,Kd,325093,9,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Average Binding Constant for CAMK2B; NA=Not Active at 10 uM"
CHEMBL608533,CHEMBL4121,"CaM kinase II beta",Q13554,6.68,Kd,586560,9,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding constant for CAMK2B kinase domain"
CHEMBL388978,CHEMBL4121,"CaM kinase II beta",Q13554,8.89,Kd,586560,9,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding constant for CAMK2B kinase domain"
CHEMBL1721885,CHEMBL4121,"CaM kinase II beta",Q13554,5.64,Kd,586560,9,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,"Binding constant for CAMK2B kinase domain"
CHEMBL535,CHEMBL4121,"CaM kinase II beta",Q13554,5.85,Kd,586560,9,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Binding constant for CAMK2B kinase domain"
CHEMBL603469,CHEMBL4121,"CaM kinase II beta",Q13554,7.23,Kd,655705,8,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,"Binding affinity to CAMK2B"
CHEMBL608533,CHEMBL4121,"CaM kinase II beta",Q13554,6.68,Kd,655705,8,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding affinity to CAMK2B"
CHEMBL535,CHEMBL4121,"CaM kinase II beta",Q13554,5.85,Kd,655705,8,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Binding affinity to CAMK2B"
