lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL535,CHEMBL2801,"CaM kinase II delta",Q13557,5.96,Kd,325076,9,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Average Binding Constant for CAMK2D; NA=Not Active at 10 uM"
CHEMBL388978,CHEMBL2801,"CaM kinase II delta",Q13557,9.3,Kd,325076,9,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Average Binding Constant for CAMK2D; NA=Not Active at 10 uM"
CHEMBL271699,CHEMBL2801,"CaM kinase II delta",Q13557,5.89,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3cccc(F)c3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL272978,CHEMBL2801,"CaM kinase II delta",Q13557,7.92,IC50,470095,8,NCCNc1cccc(-c2ccnc(Nc3cccc(Cl)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL403053,CHEMBL2801,"CaM kinase II delta",Q13557,6.03,IC50,470095,8,Clc1cccc(Nc2nccc(-c3cccc(N4CCCCC4)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL403054,CHEMBL2801,"CaM kinase II delta",Q13557,6.62,IC50,470095,8,Clc1cccc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL273008,CHEMBL2801,"CaM kinase II delta",Q13557,6.18,IC50,470095,8,Nc1cccc(-c2ccnc(Nc3cccc(Cl)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL404090,CHEMBL2801,"CaM kinase II delta",Q13557,6.11,IC50,470095,8,c1ccc(Nc2nccc(-c3ccc(-c4nnn[nH]4)cc3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL255633,CHEMBL2801,"CaM kinase II delta",Q13557,6.54,IC50,470095,8,O=C(NO)c1ccc(-c2ccnc(Nc3ccccc3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL271045,CHEMBL2801,"CaM kinase II delta",Q13557,7.38,IC50,470095,8,O=C(O)c1ccc(-c2ccnc(Nc3cccc(Cl)c3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL402428,CHEMBL2801,"CaM kinase II delta",Q13557,7.19,IC50,470095,8,O=C(O)c1ccc(-c2ccnc(Nc3ccccc3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL256632,CHEMBL2801,"CaM kinase II delta",Q13557,6.41,IC50,470095,8,O=C(O)c1ccc(-c2ccnc(Nc3ccncc3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL255617,CHEMBL2801,"CaM kinase II delta",Q13557,7.18,IC50,470095,8,Nc1cc(Nc2nccc(-c3ccc(C(=O)O)cc3)n2)ccn1,"Inhibition of cloned CaMK2delta"
CHEMBL402524,CHEMBL2801,"CaM kinase II delta",Q13557,6.77,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(C(=O)NO)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL255641,CHEMBL2801,"CaM kinase II delta",Q13557,5.65,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(-c4nnn[nH]4)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL402741,CHEMBL2801,"CaM kinase II delta",Q13557,6.14,IC50,470095,8,CNC(=O)c1ccc(-c2ccnc(Nc3ccnc(N[C@@H](C)c4ccccc4)c3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL272524,CHEMBL2801,"CaM kinase II delta",Q13557,5.65,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(N(C)C)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL403217,CHEMBL2801,"CaM kinase II delta",Q13557,5.47,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(CC(=O)O)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL272525,CHEMBL2801,"CaM kinase II delta",Q13557,4.89,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3cccc(C(=O)O)c3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL403766,CHEMBL2801,"CaM kinase II delta",Q13557,6.68,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(C(=O)O)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL257454,CHEMBL2801,"CaM kinase II delta",Q13557,5.77,IC50,470095,8,COC(=O)c1ccc(-c2ccnc(Nc3ccnc(N[C@@H](C)c4ccccc4)c3)n2)cc1,"Inhibition of cloned CaMK2delta"
CHEMBL271069,CHEMBL2801,"CaM kinase II delta",Q13557,5.54,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3ccc(Cl)cc3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL271278,CHEMBL2801,"CaM kinase II delta",Q13557,6.04,IC50,470095,8,Cc1cccc(-c2ccnc(Nc3ccnc(N[C@@H](C)c4ccccc4)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL256429,CHEMBL2801,"CaM kinase II delta",Q13557,5.5,IC50,470095,8,C[C@H](Nc1cc(Nc2nccc(-c3cccc(-c4ccccc4)c3)n2)ccn1)c1ccccc1,"Inhibition of cloned CaMK2delta"
CHEMBL270849,CHEMBL2801,"CaM kinase II delta",Q13557,8.05,IC50,470095,8,Clc1cccc(Nc2nccc(-c3cccc(N4CCNCC4)c3)n2)c1,"Inhibition of cloned CaMK2delta"
CHEMBL270849,CHEMBL2801,"CaM kinase II delta",Q13557,6.5,IC50,470097,9,Clc1cccc(Nc2nccc(-c3cccc(N4CCNCC4)c3)n2)c1,"Inhibition of CaMK2delta-mediated vimentin phosphorylation in human HL2 cells after 1 hr by ELISA"
