lig_chembl_id,pro_chembl_id,pref_name,accession,pchembl_value,standard_type,assay_id,confidence_score,canonical_smiles,description
CHEMBL535,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,6.43,Kd,325062,9,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Average Binding Constant for CAMK2A; NA=Not Active at 10 uM"
CHEMBL91829,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,5.02,Kd,325062,9,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,"Average Binding Constant for CAMK2A; NA=Not Active at 10 uM"
CHEMBL428690,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,5.89,Kd,325062,9,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,"Average Binding Constant for CAMK2A; NA=Not Active at 10 uM"
CHEMBL388978,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,10,Kd,325062,9,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Average Binding Constant for CAMK2A; NA=Not Active at 10 uM"
CHEMBL213618,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,5.1,IC50,389607,8,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,"Inhibition of CamK2alpha"
CHEMBL535,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,6.43,Kd,531325,8,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Inhibition of CAMK2a"
CHEMBL428690,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,5.77,Kd,586686,9,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,"Binding constant for CAMK2A kinase domain"
CHEMBL91829,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,5.35,Kd,586686,9,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,"Binding constant for CAMK2A kinase domain"
CHEMBL608533,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,7.7,Kd,586686,9,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding constant for CAMK2A kinase domain"
CHEMBL388978,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,9.8,Kd,586686,9,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding constant for CAMK2A kinase domain"
CHEMBL1721885,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,6.46,Kd,586686,9,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,"Binding constant for CAMK2A kinase domain"
CHEMBL535,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,7.1,Kd,586686,9,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Binding constant for CAMK2A kinase domain"
CHEMBL603469,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,8,Kd,655704,8,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,"Binding affinity to CAMK2A"
CHEMBL608533,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,7.7,Kd,655704,8,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,"Binding affinity to CAMK2A"
CHEMBL535,CHEMBL4147,"CaM kinase II alpha",Q9UQM7,7.1,Kd,655704,8,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,"Binding affinity to CAMK2A"
