ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
2028,5,6x5g,Cc1cc2c3ccccc3c3ccccc3c2nn1,19,1.0,-7.7,6.415,6.33174030572176
2029,2,6vzk,Oc1ccc2c(c1)c1ccccc1c1ncccc21,19,0.8420000000000001,-9.1,6.386,6.641163460969925
2197,5,7kl1,Cn1cc(NC(=O)c2cc(=O)n(C)c3ccccc23)cn1,21,0.905,-9.0,6.4060000000000015,6.061801475048067
2221,4,6vzk,Cn1cc(NC(=O)c2cn(C)c(=O)c3ccccc23)cn1,21,0.81,-7.9,6.4579999999999975,6.225963573336599
2236,4,6vzk,O=c1[nH]nc2n1CCN(Cc1cccc3ccccc13)C2,21,0.857,-9.3,6.433,6.237163306951523
2240,1,7kl1,NC(=O)C[C@H]1C(=O)NCCN1Cc1cccc2ccccc12,22,0.909,-8.8,6.414,6.118255700111389
2255,3,7kl1,O=c1/c(=C/c2cccc3ccccc23)sc2ncnn12,20,1.0,-8.9,6.5,6.449034474790096
2315,4,7kl1,CCNC(=O)[C@@H]1C[C@@H](N)CN1Cc1cccc2ccccc12,22,0.909,-9.1,6.506,6.666269469022751
2316,5,6x5g,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.8640000000000001,-7.9,6.699,6.641746948450804
2321,4,7kl1,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,22,0.955,-8.7,6.5429999999999975,6.106728868961332
2355,2,7kl1,O=c1/c(=C\c2cccc3ccccc23)sc2ncnn12,20,1.0,-9.3,6.4579999999999975,6.368653568804262
2417,3,7kl1,Nc1nc2c(ncn2-c2cccc3ccccc23)c(=O)[nH]1,21,1.0,-8.5,6.421,6.362119141876698
2514,4,6vzk,Cc1nc2c3c4c(sc3n3c(C)nnc3n2n1)CCCC4,21,0.905,-10.4,6.3870000000000005,6.669350897789002
2523,4,7kl1,CCC(=O)N[C@@H]1CC(=O)N(Cc2cccc3ccccc23)C1,22,0.955,-9.1,6.4079999999999995,6.012971796274185
2531,5,7kl1,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,22,0.955,-8.3,6.5729999999999995,6.377186299443244
2538,1,7kl1,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,22,0.909,-9.4,6.733,6.234419365406036
2558,2,7kl1,O=C1Nc2ccccc2/C1=C/NCc1ccc2c(c1)OCO2,22,0.955,-8.8,6.395,6.475899700522422
2559,2,6x5g,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,22,0.909,-8.8,6.763999999999999,6.5909765675067895
2578,5,7kl1,CN1CCN(c2ncnc3c(-c4ccccc4)c[nH]c23)CC1,22,0.909,-8.3,6.397,6.604743436098099
2590,1,7kl1,Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,22,0.909,-8.8,6.4170000000000025,6.329943258881571
2608,5,6vzk,Cc1nn2c(ncc3c(N)ncnc32)c1-c1ccccc1,21,0.81,-8.3,6.577000000000001,6.4566284198760995
2630,4,7kl1,Cn1cnnc1-c1cccc(NC(=O)c2cccc(N)c2)c1,22,0.955,-9.7,6.42,5.909271283149719
2646,4,6x5g,Cn1ncc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.8640000000000001,-9.1,6.733,6.525669802904129
2658,4,7kl1,CN1C(=O)C(Cc2cccc3ccccc23)C(=O)N(C)C1=O,22,1.0,-10.6,6.756,5.964083689212799
2773,5,7kl1,Cc1nn(-c2ccccn2)c2c1C(=O)C(=[N+]=[N-])C(C)(C)C2,21,0.857,-8.1,6.414,6.901659364938736
2785,1,7kl1,O=C1Nc2ccccc2/C1=N\N=c1/[nH]c2ccccc2s1,21,0.9520000000000001,-8.9,6.484,6.513394894838333
2812,3,6x5g,Cn1ncc2c(N)nc(-c3cccc4ccccc34)nc21,21,0.905,-9.2,6.638999999999999,6.4539687796831124
2818,5,7kl1,O=C(c1ccc2nc(-c3ccc(F)cc3)cn2c1)N1CCC1,22,0.909,-8.2,6.428999999999999,6.182624960780143
2837,5,7kl1,Cc1nc2ncnn2c(O)c1Cc1cccc2ccccc12,22,0.955,-8.8,6.579,6.341702941894531
2846,2,7kl1,O=C1Nc2ccccc2/C1=C/Nc1ccc2[nH]ncc2c1,21,0.905,-7.9,6.52,6.64348186969757
2854,5,6vzk,O=C(NC1CC1)[C@H]1CC(Cc2cccc3ccccc23)=NO1,22,0.8640000000000001,-8.4,6.454,6.357694815933704
2859,5,6vzk,CCN1CCN(C(=O)Cc2cccc3ccccc23)CC1,21,0.905,-8.7,6.428,5.8619202642440795
2869,5,7kl1,O=c1c2ccccc2nnn1Cc1cccc2ccccc12,22,1.0,-8.9,6.763999999999999,6.21013629579544
2872,3,6vzk,O=C1[C@@H]2CCCN2C(=O)N1Cc1cccc2ccccc12,21,0.905,-8.3,6.405,5.92292722940445
2876,4,7kl1,Cc1cc(CNC(=O)Cc2cccc3ccccc23)ncn1,22,0.909,-10.6,6.517,5.79297862482071
2895,4,7kl1,O=C(Cc1cccc2ccccc12)N1CCn2nccc2C1,22,0.909,-8.5,6.5870000000000015,6.364081802487375
2898,5,6vzk,O=C1C[C@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.818,-9.0,6.473,6.100073585987091
2907,2,7kl1,Cc1nnc2sc(-c3cccc4ccccc34)nn2c1=O,21,1.0,-9.3,6.388999999999999,6.377948120735585
2909,4,6vzk,O=C1NC2(CCC2)C(=O)N1Cc1cccc2ccccc12,21,0.857,-7.8,6.4479999999999995,6.185139761447906
2910,1,7kl1,O=C1Nc2ccccc2/C1=C/Nc1ccc2cn[nH]c2c1,21,1.0,-8.8,6.43,6.521467499732971
2918,4,6x5g,Cc1nc(-c2cccc(NC(=O)c3cccc(N)c3)c2)n[nH]1,22,0.8640000000000001,-9.7,6.492999999999999,6.564331553161144
2922,5,7kl1,COc1ccc(C)cc1[C@@H]1NC(=O)c2ccccc2N1,20,0.95,-8.9,6.4220000000000015,5.612011322498323
2935,5,7kl1,O=C(CN1CCCC1)Nc1c2c(nc3ccccc13)CCC2,22,0.909,-8.6,6.728,6.6525451167225835
2940,3,7kl1,Cc1cc(=O)n2nc(-c3cccc4ccccc34)nc2[nH]1,21,1.0,-8.6,6.442,6.119110493183136
2955,5,7kl1,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccc(F)cc21,21,0.857,-9.0,6.395,6.595594469904899
2960,1,6vzk,O=C1C[C@@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.8640000000000001,-9.3,6.452999999999999,5.960889449596404
2962,5,6vzk,O=C(NC[C@H]1CCCO1)c1c2c(nc3ccccc13)CCC2,22,0.8640000000000001,-9.9,6.593999999999999,6.638196866452693
2966,3,6x5g,Cn1nnc2c(Nc3cccc4ccccc34)ncnc21,21,0.905,-9.2,6.5729999999999995,6.366551921844482
2967,5,7kl1,Cc1[nH]c2nc(-c3cccc4ccccc34)nn2c(=O)c1C,22,1.0,-9.9,6.476,6.565179567992687
2971,4,7kl1,Oc1nncn2nc(-c3cccc4ccccc34)cc12,20,1.0,-9.2,6.415,6.146553852558136
2996,3,6vzk,O=C1Nc2ccccc2/C1=C\c1cccc(C(=O)O)c1,20,0.9,-7.2,6.593999999999999,6.318638551473617
3003,5,7kl1,O=C(NC[C@@H]1CCCO1)c1c2c(nc3ccccc13)CCC2,22,0.955,-9.6,6.558,6.562464345518499
3013,2,6vzk,C[C@@H]1CN(C(=O)c2c3c(nc4ccccc24)CCC3)CCO1,22,0.8640000000000001,-8.8,6.4570000000000025,6.746328813552859
