ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
1502,2,7kl4,O=C1Nc2ccccc2/C1=C/C(=O)c1ccccc1,19,0.789,-5.1,4.931,4.836763432383537
1995,5,7kl4,Cc1c2c(nc3ccccc13)-c1ccccc1CC2,19,0.789,-5.2,4.966,5.335082540273667
2172,4,7kl4,Cc1n[nH]c(N/N=C2/C(=O)Nc3ccccc32)nc1=O,20,0.85,-5.1,4.9060000000000015,5.022865433752538
2200,5,6x5g,O=C1CN(C(=O)Cc2cccc3ccccc23)CCN1,20,1.0,-5.8,4.9860000000000015,4.154475806713106
2240,3,6x5g,NC(=O)C[C@H]1C(=O)NCCN1Cc1cccc2ccccc12,22,0.8640000000000001,-7.0,4.975,4.587332850694656
2255,3,7kl4,O=c1/c(=C/c2cccc3ccccc23)sc2ncnn12,20,0.95,-5.3,5.001,4.984438760042191
2259,5,6x5g,NC(=O)C[C@@H]1C(=O)NCCN1Cc1cccc2ccccc12,22,0.955,-7.1,5.072,4.626870694875717
2316,5,7kl1,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.818,-6.3,5.058,4.82159012722969
2321,2,7kl1,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,22,0.727,-6.3,5.103,4.7769145815372465
2338,5,6x5g,CCNC(=O)[C@@H]1C[C@H](N)CN1Cc1cccc2ccccc12,22,1.0,-6.7,4.925,4.714140075445175
2381,4,7kl4,O=c1cc(NCc2cccc3ccccc23)[nH]c(=O)[nH]1,20,0.8,-6.0,4.962,4.791651147127151
2384,3,7kl4,Cc1ccc2c(c1)[C@]1(NC(=O)c3ccccc3N1)C(=O)N2,21,0.7140000000000001,-5.5,5.176,5.293923155426979
2395,4,7kl4,Cc1ccc2c(c1)[C@@]1(NC(=O)c3ccccc3N1)C(=O)N2,21,0.81,-5.9,5.176,5.156165144428611
2407,2,7kl4,Cc1cccc2c1NC(=O)[C@@]21NC(=O)c2ccccc2N1,21,0.7140000000000001,-5.5,5.061,5.271940793156624
2409,5,7kl4,Cc1cccc2c1NC(=O)[C@]21NC(=O)c2ccccc2N1,21,0.857,-6.2,5.312,5.452549510717392
2504,3,7kl1,O=C(Cc1cccc2ccccc12)N1CC(n2ccnn2)C1,22,0.773,-6.4,5.052,4.789391680479049
2531,4,6x5g,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,22,0.909,-7.1,5.008,4.878978981256485
2538,5,7kl4,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,22,0.818,-5.1,5.184,4.860502138376236
2539,3,6x5g,CCn1ccc(=O)n(Cc2cccc3ccccc23)c1=O,21,0.9520000000000001,-6.5,4.91,4.25608805179596
2558,2,7kl1,O=C1Nc2ccccc2/C1=C/NCc1ccc2c(c1)OCO2,22,0.8640000000000001,-6.2,4.931,4.883510144561529
2559,4,7kl4,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,22,0.727,-5.5,5.277,5.140587290048599
2562,3,7kl1,O=C(Cc1cccc2ccccc12)N1CC(n2nccn2)C1,22,0.818,-6.4,5.07,4.755364961624146
2564,3,6x5g,CC(=O)N[C@@H]1CC(=O)N(Cc2cccc3ccccc23)C1,21,0.905,-5.8,4.886,4.4193098471164705
2610,4,7kl1,O=c1[nH]nc(Cc2nc3ccccc3[nH]2)c2ccccc12,21,0.7140000000000001,-4.8,4.928,4.502054718017578
2630,5,7kl4,Cn1cnnc1-c1cccc(NC(=O)c2cccc(N)c2)c1,22,0.727,-5.9,5.1560000000000015,4.881544035434724
2645,5,6x5g,Oc1ncnc2c1nnn2Cc1cccc2ccccc12,21,1.0,-6.7,4.994,4.494630378723144
2646,4,6vzk,Cn1ncc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.818,-5.6,5.082,4.753470493078232
2659,5,7kl4,Nc1cccc(C(=O)Nc2ccnc(-c3ccccn3)n2)c1,22,0.727,-5.9,5.013999999999999,4.947386787772178
2683,5,6x5g,O=c1cc(-c2cccc3ccccc23)[nH]c2ncnn12,20,0.75,-4.6,4.9860000000000015,4.631143508911134
2729,5,7kl1,O=C(O)c1cccn(OCc2cccc3ccccc23)c1=O,22,0.727,-5.8,5.04,4.567923285961151
2791,4,6x5g,O=C1Nc2ccccc2/C1=N/Nc1nc2ccccc2[nH]1,21,1.0,-6.8,4.976,4.72728760933876
2807,4,7kl4,N/N=C(/C=C1\C(=O)Nc2ccccc21)c1ccccc1,20,0.75,-5.1,4.947,5.031697127342224
2809,3,7kl1,O=C1Nc2ccccc2/C1=C/Nc1ccc2c(c1)OCO2,21,0.81,-5.5,4.904,4.782851041197777
2812,5,6x5g,Cn1ncc2c(N)nc(-c3cccc4ccccc34)nc21,21,0.9520000000000001,-6.3,4.952,4.484845199108124
2818,3,6x5g,O=C(c1ccc2nc(-c3ccc(F)cc3)cn2c1)N1CCC1,22,0.909,-7.6,5.053999999999999,4.851629639506339
2837,4,6x5g,Cc1nc2ncnn2c(O)c1Cc1cccc2ccccc12,22,0.8640000000000001,-6.7,4.907,4.62593909573555
2843,1,7kl1,Cc1noc(CNC(=O)NCc2cccc3ccccc23)n1,22,0.955,-7.4,4.941,4.643770173549652
2846,3,7kl1,O=C1Nc2ccccc2/C1=C/Nc1ccc2[nH]ncc2c1,21,0.7140000000000001,-5.2,5.032,4.892022112727165
2869,4,7kl4,O=c1c2ccccc2nnn1Cc1cccc2ccccc12,22,0.818,-4.4,5.052,5.013174584925174
2872,3,6x5g,O=C1[C@@H]2CCCN2C(=O)N1Cc1cccc2ccccc12,21,0.905,-5.3,4.945,4.334350295066834
2876,1,7kl1,Cc1cc(CNC(=O)Cc2cccc3ccccc23)ncn1,22,0.818,-6.3,4.941,4.633657798528671
2895,2,7kl1,O=C(Cc1cccc2ccccc12)N1CCn2nccc2C1,22,0.909,-5.2,5.01,4.563431361913681
2898,3,6x5g,O=C1C[C@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.818,-5.5,4.9060000000000015,4.580274861812593
2910,4,6x5g,O=C1Nc2ccccc2/C1=C/Nc1ccc2cn[nH]c2c1,21,0.905,-6.4,4.9319999999999995,4.943004315689206
2912,3,7kl4,O=C(Nc1cccc(Cl)c1)c1cccc(-n2cnnn2)c1,21,0.81,-6.7,5.021,5.127739521026611
2918,2,7kl4,Cc1nc(-c2cccc(NC(=O)c3cccc(N)c3)c2)n[nH]1,22,0.682,-5.7,5.306,5.054960912227631
2927,5,7kl4,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cccc(Cl)c1,21,0.762,-5.9,5.0569999999999995,4.955912116885185
2928,5,6x5g,Nc1nc(Nc2cccc3ccccc23)c2nc[nH]c2n1,21,0.905,-6.2,4.988,4.615949267625809
2940,3,7kl1,Cc1cc(=O)n2nc(-c3cccc4ccccc34)nc2[nH]1,21,0.762,-5.1,5.047,4.639231571674347
2960,4,6x5g,O=C1C[C@@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.955,-6.6,4.9060000000000015,4.579650413751604
2966,4,6x5g,Cn1nnc2c(Nc3cccc4ccccc34)ncnc21,21,0.9520000000000001,-6.2,4.956,4.6192861196994786
2967,5,6vzk,Cc1[nH]c2nc(-c3cccc4ccccc34)nn2c(=O)c1C,22,0.636,-4.0,4.955,4.8335579055547715
2983,3,7kl1,COc1cc(NC(=O)Cc2cccc3ccccc23)ncn1,22,0.773,-6.6,5.044,4.833319157600402
3002,3,7kl4,Cc1[nH]c2ccccc2c1[C@@]1(O)C(=O)Nc2ccccc21,21,0.762,-5.1,4.9639999999999995,4.903271420240402
3011,1,7kl1,Cc1c(C(=O)Nc2cccc(F)c2)cnn1-c1ccccn1,22,0.818,-6.4,4.882,4.646348119497299
3018,5,6x5g,CN(Cc1cccc2ccccc12)c1cc(CCN)ncn1,22,0.8640000000000001,-6.2,4.926,4.5394935915470125
3036,3,6vzk,O=C1Nc2ccccc2/C1=C/c1ccc2c(c1)OCCO2,21,0.619,-3.6,4.931,4.55053341960907
3044,3,7kl4,Cn1ccc(NC(=O)c2c3c(nc4ccccc24)CCC3)n1,22,0.818,-6.4,5.026,5.19914001917839
3064,1,7kl1,O=c1[nH]c2ccccc2c(=O)n1-c1cccc2ccccc12,22,0.636,-5.0,4.894,4.5558983149528505
3105,4,7kl4,O=C(Nc1cccc(Cl)c1)c1cccc(-n2cnnc2)n1,21,0.81,-6.7,4.901,5.063260293960571
3110,5,7kl1,Cc1ccc(C(N)=O)c[n+]1Cc1cccc2ccccc12,21,0.762,-6.8,4.93,4.414098076820373
3117,2,6x5g,C[C@@H](N)[C@@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.909,-6.7,4.917,4.78815803360939
3136,5,7kl4,O=C1Nc2ccccc2/C1=C\c1ccc2c(c1)OCCO2,21,0.667,-5.5,4.887,4.500053619861602
3150,3,6vzk,O=Cc1c(-c2nc3ccccc3c(=O)[nH]2)[nH]c2ccccc12,22,0.773,-4.5,5.202000000000001,4.938659884452821
3169,3,6x5g,Nc1ncnc2n[nH]c(Cc3cccc4ccccc34)c12,21,1.0,-6.2,4.952,4.45314980340004
3177,3,6x5g,c1ccc(-c2ncc(Nc3ncnc4[nH]ncc34)cn2)cc1,22,0.955,-6.8,4.8839999999999995,4.86379350015521
3178,5,7kl1,O=C(O)c1ccc(=O)n(Cc2cccc3ccccc23)c1,21,0.81,-6.8,4.909,4.211928507328033
3184,5,6x5g,C[C@H](N)[C@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.909,-6.2,4.965,4.841547738909721
3186,4,6x5g,C[C@@H](N)[C@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.909,-7.1,4.925,4.994009318947792
3192,3,6vzk,O=c1c2ccccc2nc2cc3[nH]c4ccccc4c3nn12,22,0.682,-4.7,4.966,4.915760638177395
3205,5,6x5g,O=C(O)c1cc([N+](=O)[O-])nn1Cc1cccc2ccccc12,22,0.955,-6.5,4.8919999999999995,4.482189278125762
3219,5,7kl4,Cc1ccc2c(c1)/C(=C1\C(=O)Nc3ccccc31)C(=O)N2C,22,0.773,-5.5,4.959,4.965520180962979
3236,2,6x5g,O=C1Nc2ccccc2/C1=C/C(=O)c1cccc([N+](=O)[O-])c1,22,0.909,-4.8,4.975,4.709746158123016
3239,2,7kl4,COc1ccccc1C(=O)/C=C1\C(=O)Nc2ccccc21,21,0.81,-5.5,5.004,4.658449880123138
3269,2,6x5g,COc1ccc(/N=C2\C(=O)Nc3ccccc32)c([N+](=O)[O-])c1,22,0.8640000000000001,-5.8,4.9910000000000005,4.870487827420235
3272,5,7kl4,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2C1=NO,21,0.905,-5.7,4.975,5.067616394162178
3274,4,7kl1,O=c1c2ccccc2nc(NN=C2CCCCCC2)n1O,21,0.81,-5.9,5.059,5.027637850135565
3278,5,7kl1,O=C1Nc2ccccc2/C1=N/N=C/c1cc2ccccc2[nH]1,22,0.8640000000000001,-5.7,4.975,4.85373762845993
3282,5,7kl4,O=C1Nc2ccccc2/C1=C1\Nc2ccccc2C1=O,20,0.75,-5.4,4.881,4.855157333374024
3283,5,6vzk,O=C1Nc2ccccc2C(=O)/C1=C/Nc1cccc(F)c1,21,0.81,-5.1,4.939,4.613346119165421
3310,1,7kl1,Cc1ccnc(NC(=O)Cc2cccc3ccccc23)n1,21,0.81,-6.6,5.016,4.620611337184906
3311,4,6x5g,O=C1C[C@H](c2ccccc2)Cc2[nH]c3ccccc3c(=O)c21,22,0.818,-4.9,4.975,4.760423398017883
3335,4,6x5g,O=C1C[C@@H](c2ccccc2)Cc2[nH]c3ccccc3c(=O)c21,22,0.955,-7.4,4.974,4.90643458122015
3358,5,6x5g,O=C1Nc2ccccc2/C1=C\NCCc1cccc(Cl)c1,21,0.857,-6.8,4.9030000000000005,4.687674599766732
3359,2,7kl1,O=C(Cc1cccc2ccccc12)Nc1onc2c1CCC2,22,0.727,-6.6,5.277,5.239208684533835
