ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
1995,3,3soa,Cc1c2c(nc3ccccc13)-c1ccccc1CC2,19,0.9470000000000001,-7.6,6.432,6.714217085361481
2074,4,3soa,Oc1cc2ccccc2c2c1ccc1ccccc12,19,1.0,-8.0,6.76,7.01540691614151
2221,3,2vz6,Cn1cc(NC(=O)c2cn(C)c(=O)c3ccccc23)cn1,21,0.9520000000000001,-10.0,6.37,6.221103335618973
2321,2,3soa,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,22,0.8640000000000001,-7.6,6.432,6.484200872451067
2417,1,2vz6,Nc1nc2c(ncn2-c2cccc3ccccc23)c(=O)[nH]1,21,1.0,-9.5,6.4170000000000025,6.444831459417942
2461,5,2vz6,O=c1nc2ccccn2c2c1c(=O)[nH]c1ccccc12,20,0.9,-9.0,6.462999999999999,6.268527165532111
2514,3,2vz6,Cc1nc2c3c4c(sc3n3c(C)nnc3n2n1)CCCC4,21,0.857,-10.7,6.4639999999999995,6.896800680398941
2531,5,2vz6,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,22,0.8640000000000001,-7.5,6.557,6.5015816650986675
2538,5,2vz6,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,22,0.909,-11.1,6.521,6.616533326268196
2559,2,2vz6,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,22,0.909,-9.2,6.557,6.417293403267861
2568,1,3soa,Cc1nc[nH]c1-c1n[nH]c(=O)n1-c1cccc2ccccc12,22,0.8640000000000001,-7.8,6.751,6.728162566035986
2590,4,2vz6,Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,22,0.909,-9.1,6.388,6.531646642565727
2617,5,3soa,Nc1nonc1-n1nncc1-c1cccc2ccccc12,21,0.9520000000000001,-8.7,6.454,6.41397816324234
2662,2,2vz6,O=C(c1c2c(nc3ccccc13)CCC2)N1CCOCC1,21,1.0,-9.8,6.481,6.518360433489084
2759,5,2vz6,O=C(O)/C=C\C(=O)N=c1c2ccccc2[nH]c2ccccc12,22,0.909,-10.2,6.434,6.243521347284317
2764,5,2vz6,O=C1Nc2ccccc2/C1=C\NCCc1ccc(O)c(O)c1,22,0.955,-9.7,6.36,6.097402737140656
2823,1,2vz6,O=C(Cc1cccc2ccccc12)NCCc1cncnc1,22,0.955,-10.3,6.377999999999999,6.017928668737411
2825,5,2vz6,COc1ccc(CCN/C=C2/C(=O)Nc3ccccc32)cc1,22,0.955,-10.4,6.461,5.775310669898987
2837,3,3soa,Cc1nc2ncnn2c(O)c1Cc1cccc2ccccc12,22,1.0,-8.3,6.391,6.16965731716156
2852,1,2vz6,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccccc21,20,0.95,-9.9,6.397,6.228651329994202
2856,4,2vz6,C[C@H]1CN(C(=O)c2c3c(nc4ccccc24)CCC3)CCO1,22,0.955,-9.9,6.692,7.334102956771851
2869,1,3soa,O=c1c2ccccc2nnn1Cc1cccc2ccccc12,22,0.8640000000000001,-8.3,6.455,6.1609246301651
2876,4,3soa,Cc1cc(CNC(=O)Cc2cccc3ccccc23)ncn1,22,0.909,-8.7,6.439,6.370128270924091
2892,2,3soa,CN1C(=O)c2ccccc2NC(=O)/C1=C/c1ccccc1,21,0.857,-7.5,6.4620000000000015,6.39741941791773
2895,3,2vz6,O=C(Cc1cccc2ccccc12)N1CCn2nccc2C1,22,0.8640000000000001,-9.2,6.675,6.617553855478763
2896,2,2vz6,O=C1Nc2ccccc2[C@]12NCCc1c2[nH]c2ccccc12,22,0.818,-9.0,6.517,6.576672631323338
2898,3,2vz6,O=C1C[C@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.909,-9.6,6.529,6.411072947919369
2940,3,3soa,Cc1cc(=O)n2nc(-c3cccc4ccccc34)nc2[nH]1,21,0.905,-7.6,6.434,6.330010383963585
2955,3,2vz6,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccc(F)cc21,21,0.905,-9.9,6.6229999999999976,6.6950345899462675
2960,4,3soa,O=C1C[C@@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,1.0,-8.8,6.412999999999999,6.250137058377265
2967,4,3soa,Cc1[nH]c2nc(-c3cccc4ccccc34)nn2c(=O)c1C,22,0.955,-9.2,6.421,6.40271915486455
2988,3,2vz6,O=C(c1c2c(nc3ccccc13)CCCC2)N1CCOCC1,22,0.909,-9.3,6.6339999999999995,6.866776761054992
3044,4,2vz6,Cn1ccc(NC(=O)c2c3c(nc4ccccc24)CCC3)n1,22,0.955,-8.9,6.49,6.572523427903652
3084,1,3soa,O=C1Nc2ccccc2/C1=C1/C(=O)Nc2ccccc21,20,0.95,-8.0,6.564,6.4028249427080155
3150,4,2vz6,O=Cc1c(-c2nc3ccccc3c(=O)[nH]2)[nH]c2ccccc12,22,0.955,-9.8,6.367999999999999,6.287926539063453
3186,2,3soa,C[C@@H](N)[C@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.727,-7.7,6.385,6.423244992494583
3192,4,2vz6,O=c1c2ccccc2nc2cc3[nH]c4ccccc4c3nn12,22,0.955,-10.1,6.67,6.745592629611492
3219,2,2vz6,Cc1ccc2c(c1)/C(=C1\C(=O)Nc3ccccc31)C(=O)N2C,22,0.909,-11.1,6.681,6.4436396119594574
3222,4,3soa,CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,21,0.9520000000000001,-8.4,6.598,6.242057095050812
3227,5,2vz6,CN1C(=O)/C(=C2\C(=O)Nc3ccccc32)c2ccccc21,21,0.9520000000000001,-9.5,6.645,6.304540861845016
3238,1,3soa,O=C1Nc2ccc(F)cc2/C1=C1\Nc2ccccc2\C1=N\O,22,1.0,-9.2,6.7120000000000015,6.8588505114316956
