ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB
2316,5,AFv1,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.909,-7.4,5.6960000000000015,5.615775307178499
2321,5,AFv1,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,22,0.955,-7.5,5.604,5.376227495908737
2334,2,AFv1,CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cccc2ccccc12,21,0.762,-8.9,5.584,5.398329922199249
2407,4,AFv1,Cc1cccc2c1NC(=O)[C@@]21NC(=O)c2ccccc2N1,21,0.762,-5.5,5.6670000000000025,5.725110464364293
2409,3,3soa,Cc1cccc2c1NC(=O)[C@]21NC(=O)c2ccccc2N1,21,0.905,-6.9,5.586,5.497635830998421
2505,2,3soa,CN(C)CC(=O)Nc1n[nH]c2nccc(-c3ccccc3)c12,22,0.8640000000000001,-7.5,5.5360000000000005,5.402158396005631
2531,5,AFv1,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,22,0.955,-7.0,5.657,5.5503414816856385
2538,1,AFv1,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,22,0.955,-8.3,5.666,5.6225570242702965
2558,5,AFv1,O=C1Nc2ccccc2/C1=C/NCc1ccc2c(c1)OCO2,22,1.0,-8.3,5.5760000000000005,5.302848602294922
2559,4,AFv1,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,22,0.909,-5.8,5.581,5.467541306972504
2568,1,AFv1,Cc1nc[nH]c1-c1n[nH]c(=O)n1-c1cccc2ccccc12,22,0.8640000000000001,-7.5,5.664,5.626552465498447
2590,5,AFv1,Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,22,0.818,-5.7,5.5,5.262758374214172
2646,3,AFv1,Cn1ncc2c(=O)n(Cc3cccc4ccccc34)cnc21,22,0.909,-7.4,5.693,5.724621623784303
2658,3,AFv1,CN1C(=O)C(Cc2cccc3ccccc23)C(=O)N(C)C1=O,22,0.955,-7.7,5.557,5.095657575845719
2729,1,AFv1,O=C(O)c1cccn(OCc2cccc3ccccc23)c1=O,22,0.8640000000000001,-7.9,5.602,5.138131232976914
2772,4,3soa,Cc1cc(/C=C2/C(=O)NN(c3ccccc3)C2=O)c(C)[nH]1,21,0.857,-7.0,5.517,5.405672336935997
2785,3,AFv1,O=C1Nc2ccccc2/C1=N\N=c1/[nH]c2ccccc2s1,21,1.0,-6.6,5.504,5.693991682767868
2818,2,AFv1,O=C(c1ccc2nc(-c3ccc(F)cc3)cn2c1)N1CCC1,22,0.955,-6.9,5.511,5.590189196228981
2837,2,AFv1,Cc1nc2ncnn2c(O)c1Cc1cccc2ccccc12,22,0.955,-7.0,5.513999999999999,5.449787923634052
2854,5,AFv1,O=C(NC1CC1)[C@H]1CC(Cc2cccc3ccccc23)=NO1,22,0.909,-6.6,5.537999999999999,5.422074315428733
2856,3,AFv1,C[C@H]1CN(C(=O)c2c3c(nc4ccccc24)CCC3)CCO1,22,0.8640000000000001,-8.1,5.621,6.149989434242249
2869,4,AFv1,O=c1c2ccccc2nnn1Cc1cccc2ccccc12,22,0.909,-7.2,5.608,5.262427945613861
2879,2,AFv1,O=C1Nc2ccccc2[C@@]12NCCc1c2[nH]c2ccccc12,22,0.8640000000000001,-7.0,5.624,5.527433583676815
2892,2,AFv1,CN1C(=O)c2ccccc2NC(=O)/C1=C/c1ccccc1,21,0.9520000000000001,-7.3,5.547999999999999,5.306245319128036
2895,1,AFv1,O=C(Cc1cccc2ccccc12)N1CCn2nccc2C1,22,0.773,-8.0,5.5820000000000025,5.395103467226031
2896,4,AFv1,O=C1Nc2ccccc2[C@]12NCCc1c2[nH]c2ccccc12,22,0.909,-6.2,5.801,5.697628938615322
2898,2,AFv1,O=C1C[C@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.8640000000000001,-7.0,5.55,5.331816393136978
2901,3,3soa,CNC(=O)C1CCN(Cc2cccc3ccccc23)CC1,21,0.9520000000000001,-8.1,5.621,5.514688775599003
2909,5,AFv1,O=C1NC2(CCC2)C(=O)N1Cc1cccc2ccccc12,21,1.0,-7.4,5.572,5.3839118958711625
2935,2,AFv1,O=C(CN1CCCC1)Nc1c2c(nc3ccccc13)CCC2,22,1.0,-8.8,5.709,5.799760618448257
2955,5,AFv1,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccc(F)cc21,21,0.9520000000000001,-6.9,5.539,5.384711499452591
2960,2,AFv1,O=C1C[C@@H](c2c(-c3ccccc3)[nH]c3ccccc23)C(=O)N1,22,0.8640000000000001,-7.5,5.529,5.3030714997053146
2962,5,AFv1,O=C(NC[C@H]1CCCO1)c1c2c(nc3ccccc13)CCC2,22,0.909,-6.2,5.5020000000000024,5.878909673213961
2967,5,3soa,Cc1[nH]c2nc(-c3cccc4ccccc34)nn2c(=O)c1C,22,0.955,-6.9,5.5729999999999995,5.63898886847496
2975,5,AFv1,Cc1[nH]c2ccccc2c1[C@]1(O)C(=O)Nc2ccccc21,21,0.9520000000000001,-7.3,5.69,5.482439743876458
3002,4,AFv1,Cc1[nH]c2ccccc2c1[C@@]1(O)C(=O)Nc2ccccc21,21,1.0,-7.3,5.517,5.164055625915528
3003,2,3soa,O=C(NC[C@@H]1CCCO1)c1c2c(nc3ccccc13)CCC2,22,0.955,-7.1,5.545,5.834418697357178
3013,5,3soa,C[C@@H]1CN(C(=O)c2c3c(nc4ccccc24)CCC3)CCO1,22,1.0,-5.9,5.687,6.015090488910675
3019,4,3soa,O=C(O)COc1ccccc1/C=C1\C(=O)Nc2ccccc21,22,0.8640000000000001,-6.5,5.519,5.162252193927765
3044,4,AFv1,Cn1ccc(NC(=O)c2c3c(nc4ccccc24)CCC3)n1,22,0.8640000000000001,-7.2,5.676,5.993445397377014
3064,2,AFv1,O=c1[nH]c2ccccc2c(=O)n1-c1cccc2ccccc12,22,0.909,-6.8,5.72,5.383251101970672
3088,5,AFv1,C[C@H](N)[C@@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.8640000000000001,-7.2,5.6,5.574207753315568
3115,4,3soa,Cc1cc2nc(NC3CCC(O)CC3)c3ccccc3n2n1,22,0.909,-5.7,5.585,5.598899472542107
3117,2,AFv1,C[C@@H](N)[C@@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.955,-7.1,5.5329999999999995,5.378387935638427
3186,4,AFv1,C[C@@H](N)[C@H]1CCCN(C(=O)Cc2cccc3ccccc23)C1,22,0.818,-7.9,5.513999999999999,5.681777985334396
3192,1,AFv1,O=c1c2ccccc2nc2cc3[nH]c4ccccc4c3nn12,22,0.955,-7.4,5.587999999999999,5.389580637693404
3219,3,3soa,Cc1ccc2c(c1)/C(=C1\C(=O)Nc3ccccc31)C(=O)N2C,22,0.955,-7.1,5.8870000000000005,5.578139042377472
3222,5,AFv1,CN1C(=O)/C(=C2/C(=O)Nc3ccccc32)c2ccccc21,21,0.857,-6.9,5.513999999999999,5.154516340732574
3227,1,3soa,CN1C(=O)/C(=C2\C(=O)Nc3ccccc32)c2ccccc21,21,1.0,-6.3,5.5429999999999975,5.265048580646512
3238,5,3soa,O=C1Nc2ccc(F)cc2/C1=C1\Nc2ccccc2\C1=N\O,22,0.909,-7.4,5.7360000000000015,5.582770614385606
3244,2,AFv1,O=C1Nc2ccccc2/C1=C\C(=O)c1ccc([N+](=O)[O-])cc1,22,0.909,-7.2,5.506,5.205632912874222
3251,1,AFv1,O=C1Nc2ccccc2/C1=C/C(=O)c1ccc2c(c1)OCO2,22,0.8640000000000001,-6.8,5.5089999999999995,5.687388446569442
3261,2,3soa,O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O,21,1.0,-6.7,5.51,5.403469117581844
3278,5,AFv1,O=C1Nc2ccccc2/C1=N/N=C/c1cc2ccccc2[nH]1,22,0.8640000000000001,-6.6,5.495,5.577937277853489
3311,4,AFv1,O=C1C[C@H](c2ccccc2)Cc2[nH]c3ccccc3c(=O)c21,22,0.818,-6.9,5.568,5.363183464884758
3335,3,3soa,O=C1C[C@@H](c2ccccc2)Cc2[nH]c3ccccc3c(=O)c21,22,0.8640000000000001,-6.6,5.5489999999999995,5.298034017324447
3359,4,AFv1,O=C(Cc1cccc2ccccc12)Nc1onc2c1CCC2,22,0.955,-8.4,5.5360000000000005,5.641176135897637
3384,3,AFv1,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,22,0.8640000000000001,-7.7,5.621,5.358371504306794
3411,5,AFv1,CN(Cc1cccc2ccccc12)C[C@H]1CCC(=O)N(C)C1,22,0.909,-7.8,5.506,5.010615128040314
3415,1,AFv1,Cc1cc(=O)n2nc(C)c(-c3cccc4ccccc34)c2[nH]1,22,0.8640000000000001,-6.6,5.734,5.825709606349468
3427,3,AFv1,c1ccc2c(c1)CC(Nc1nccc(-c3ccncc3)n1)C2,22,0.955,-7.9,5.5429999999999975,5.271821903467176
3453,5,AFv1,CN(Cc1cccc2ccccc12)C[C@@H]1CCC(=O)N(C)C1,22,0.955,-10.4,5.516,4.921449032783508
3492,5,3soa,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccc(Cl)cc21,21,0.905,-5.5,5.504,5.5490523160398
3547,2,AFv1,CCc1ccc2c(c1)/C(=C1\C(=O)Nc3ccccc31)C(=O)N2,22,0.909,-7.2,5.638,5.57447988140583
