zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
1704512,Cc1cc2c3ccccc3c3ccccc3c2nn1,0.308,22,Permeable,2028,19,-8.746,-0.46031578947368423,6.415
1577086,Oc1ccc2c(c1)c1ccccc1c1ncccc21,0.321,22,Permeable,2029,19,-8.707,-0.45826315789473687,6.386
72404742,Cn1cc(NC(=O)c2cc(=O)n(C)c3ccccc23)cn1,0.303,21,Permeable,2197,21,-8.733,-0.41585714285714287,6.406
61720404,Cn1cc(NC(=O)c2cn(C)c(=O)c3ccccc23)cn1,0.303,21,Permeable,2221,21,-8.804,-0.41923809523809524,6.458
95940893,O=c1[nH]nc2n1CCN(Cc1cccc3ccccc13)C2,0.311,20,Permeable,2236,21,-8.77,-0.4176190476190476,6.433
72140239,NC(=O)C[C@H]1C(=O)NCCN1Cc1cccc2ccccc12,0.303,20,Permeable,2240,22,-8.745,-0.39749999999999996,6.414
208331,O=c1/c(=C/c2cccc3ccccc23)sc2ncnn12,0.302,20,Permeable,2255,20,-8.862,-0.4431,6.5
299762363,CCNC(=O)[C@@H]1C[C@@H](N)CN1Cc1cccc2ccccc12,0.303,20,Permeable,2315,22,-8.87,-0.40318181818181814,6.506
13531247,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,0.37799999999999995,20,Permeable,2316,22,-9.133,-0.4151363636363636,6.699
6742952,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,0.313,20,Permeable,2321,22,-8.921,-0.40549999999999997,6.543
208328,O=c1/c(=C\c2cccc3ccccc23)sc2ncnn12,0.302,20,Permeable,2355,20,-8.804,-0.44020000000000004,6.458
1745758,Nc1nc2c(ncn2-c2cccc3ccccc23)c(=O)[nH]1,0.326,20,Permeable,2417,21,-8.754,-0.4168571428571428,6.421
15083617,Cc1nc2c3c4c(sc3n3c(C)nnc3n2n1)CCCC4,0.311,2,Permeable,2514,21,-8.708,-0.4146666666666667,6.387
