zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
18117761,O=C1Nc2ccccc2/C1=C/C(=O)c1ccccc1,0.381,24,Permeable,1502,19,-6.723,-0.3538421052631579,4.931
12929607,Cc1c2c(nc3ccccc13)-c1ccccc1CC2,0.302,9,Permeable,1995,19,-6.77,-0.3563157894736842,4.966
16952349,Cc1n[nH]c(N/N=C2/C(=O)Nc3ccccc32)nc1=O,0.33,24,Permeable,2172,20,-6.689,-0.33445,4.906
13012039,O=C1CN(C(=O)Cc2cccc3ccccc23)CCN1,0.307,20,Permeable,2200,20,-6.797,-0.33985,4.986
72140239,NC(=O)C[C@H]1C(=O)NCCN1Cc1cccc2ccccc12,0.303,20,Permeable,2240,22,-6.783,-0.3083181818181818,4.975
208331,O=c1/c(=C/c2cccc3ccccc23)sc2ncnn12,0.302,20,Permeable,2255,20,-6.818,-0.3409,5.001
72140240,NC(=O)C[C@@H]1C(=O)NCCN1Cc1cccc2ccccc12,0.303,20,Permeable,2259,22,-6.915,-0.31431818181818183,5.072
13531247,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,0.37799999999999995,20,Permeable,2316,22,-6.896,-0.31345454545454543,5.058
6742952,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,0.313,20,Permeable,2321,22,-6.957,-0.31622727272727275,5.103
299788940,CCNC(=O)[C@@H]1C[C@H](N)CN1Cc1cccc2ccccc12,0.303,20,Permeable,2338,22,-6.715,-0.30522727272727274,4.925
1745886,O=c1cc(NCc2cccc3ccccc23)[nH]c(=O)[nH]1,0.32799999999999996,20,Permeable,2381,20,-6.765,-0.33825,4.962
57464061,Cc1ccc2c(c1)[C@]1(NC(=O)c3ccccc3N1)C(=O)N2,0.303,24,Permeable,2384,21,-7.056,-0.336,5.176
57464059,Cc1ccc2c(c1)[C@@]1(NC(=O)c3ccccc3N1)C(=O)N2,0.303,24,Permeable,2395,21,-7.057,-0.33604761904761904,5.176
41863656,Cc1cccc2c1NC(=O)[C@@]21NC(=O)c2ccccc2N1,0.303,24,Permeable,2407,21,-6.9,-0.32857142857142857,5.061
41863655,Cc1cccc2c1NC(=O)[C@]21NC(=O)c2ccccc2N1,0.303,24,Permeable,2409,21,-7.242,-0.34485714285714286,5.312
225693231,O=C(Cc1cccc2ccccc12)N1CC(n2ccnn2)C1,0.311,20,Permeable,2504,22,-6.887,-0.3130454545454545,5.052
18223173,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,0.423,20,Permeable,2531,22,-6.828,-0.3103636363636364,5.008
