zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
12929607,Cc1c2c(nc3ccccc13)-c1ccccc1CC2,0.302,9,Permeable,1995,19,-8.769,-0.4615263157894737,6.432
5064429,Oc1cc2ccccc2c2c1ccc1ccccc12,0.308,22,Permeable,2074,19,-9.216,-0.48505263157894735,6.76
61720404,Cn1cc(NC(=O)c2cn(C)c(=O)c3ccccc23)cn1,0.303,21,Permeable,2221,21,-8.684,-0.4135238095238095,6.37
6742952,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,0.313,20,Permeable,2321,22,-8.769,-0.3985909090909091,6.432
1745758,Nc1nc2c(ncn2-c2cccc3ccccc23)c(=O)[nH]1,0.326,20,Permeable,2417,21,-8.748,-0.41657142857142854,6.417
236518,O=c1nc2ccccn2c2c1c(=O)[nH]c1ccccc12,0.303,23,Permeable,2461,20,-8.811,-0.44055,6.463
15083617,Cc1nc2c3c4c(sc3n3c(C)nnc3n2n1)CCCC4,0.311,2,Permeable,2514,21,-8.813,-0.4196666666666667,6.464
18223173,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,0.423,20,Permeable,2531,22,-8.94,-0.4063636363636363,6.557
12234720,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,0.315,20,Permeable,2538,22,-8.89,-0.4040909090909091,6.521
31823283,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,0.4370000000000001,24,Permeable,2559,22,-8.939,-0.4063181818181818,6.557
67641962,Cc1nc[nH]c1-c1n[nH]c(=O)n1-c1cccc2ccccc12,0.301,20,Permeable,2568,22,-9.204,-0.4183636363636364,6.751
38478056,Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,0.353,1,Permeable,2590,22,-8.709,-0.39586363636363636,6.388
16489670,Nc1nonc1-n1nncc1-c1cccc2ccccc12,0.315,20,Permeable,2617,21,-8.799,-0.419,6.454
12918526,O=C(c1c2c(nc3ccccc13)CCC2)N1CCOCC1,0.353,9,Permeable,2662,21,-8.836,-0.4207619047619048,6.481
77270633,O=C(O)/C=C\C(=O)N=c1c2ccccc2[nH]c2ccccc12,0.341,23,Permeable,2759,22,-8.772,-0.39872727272727276,6.434
13756545,O=C1Nc2ccccc2/C1=C\NCCc1ccc(O)c(O)c1,0.381,24,Permeable,2764,22,-8.671,-0.3941363636363636,6.36
252533181,O=C(Cc1cccc2ccccc12)NCCc1cncnc1,0.316,20,Permeable,2823,22,-8.695,-0.39522727272727276,6.378
100357705,COc1ccc(CCN/C=C2/C(=O)Nc3ccccc32)cc1,0.368,24,Permeable,2825,22,-8.809,-0.4004090909090909,6.461
96833045,Cc1nc2ncnn2c(O)c1Cc1cccc2ccccc12,0.434,20,Permeable,2837,22,-8.713,-0.39604545454545453,6.391
32915988,O=C1Nc2ccccc2/C1=C1\C(=O)Nc2ccccc21,0.308,24,Permeable,2852,20,-8.722,-0.4361,6.397
12925462,C[C@H]1CN(C(=O)c2c3c(nc4ccccc24)CCC3)CCO1,0.345,9,Permeable,2856,22,-9.123,-0.41468181818181815,6.692
3361724,O=c1c2ccccc2nnn1Cc1cccc2ccccc12,0.331,20,Permeable,2869,22,-8.801,-0.40004545454545454,6.455
585359371,Cc1cc(CNC(=O)Cc2cccc3ccccc23)ncn1,0.37,20,Permeable,2876,22,-8.779,-0.39904545454545454,6.439
