zinc_id,new_smile,tanimoto_sim,cluster,BBBP,ligand_id,HeavyAtomCount,LinF9_score,LinF9_LE,LinF9
13531247,Cn1nnc2c(=O)n(Cc3cccc4ccccc34)cnc21,0.37799999999999995,20,Permeable,2316,22,-7.766,-0.353,5.696
6742952,O=C(Cc1cccc2ccccc12)Nc1c[nH]c(=O)[nH]c1=O,0.313,20,Permeable,2321,22,-7.64,-0.34727272727272723,5.604
299757208,CNC(=O)[C@@H]1C[C@H](N)CN1Cc1cccc2ccccc12,0.312,20,Permeable,2334,21,-7.613,-0.3625238095238095,5.584
41863656,Cc1cccc2c1NC(=O)[C@@]21NC(=O)c2ccccc2N1,0.303,24,Permeable,2407,21,-7.726,-0.3679047619047619,5.667
41863655,Cc1cccc2c1NC(=O)[C@]21NC(=O)c2ccccc2N1,0.303,24,Permeable,2409,21,-7.616,-0.36266666666666664,5.586
1875241032,CN(C)CC(=O)Nc1n[nH]c2nccc(-c3ccccc3)c12,0.325,15,Permeable,2505,22,-7.548,-0.3430909090909091,5.536
18223173,Cc1[nH]c2ncnn2c(=O)c1Cc1cccc2ccccc12,0.423,20,Permeable,2531,22,-7.712,-0.35054545454545455,5.657
12234720,CC1(C)C(=O)NCCN1C(=O)Cc1cccc2ccccc12,0.315,20,Permeable,2538,22,-7.725,-0.35113636363636364,5.666
18145648,O=C1Nc2ccccc2/C1=C/NCc1ccc2c(c1)OCO2,0.364,24,Permeable,2558,22,-7.602,-0.34554545454545454,5.576
31823283,O=C1Nc2ccccc2/C1=C\c1nc2ccccc2c(=O)[nH]1,0.4370000000000001,24,Permeable,2559,22,-7.609,-0.3458636363636364,5.581
67641962,Cc1nc[nH]c1-c1n[nH]c(=O)n1-c1cccc2ccccc12,0.301,20,Permeable,2568,22,-7.722,-0.35100000000000003,5.664
38478056,Nc1cccc(-c2ccc3nnc(-c4cccnc4)n3n2)c1,0.353,1,Permeable,2590,22,-7.498,-0.34081818181818185,5.5
12895750,Cn1ncc2c(=O)n(Cc3cccc4ccccc34)cnc21,0.3670000000000001,20,Permeable,2646,22,-7.762,-0.3528181818181818,5.693
2998120,CN1C(=O)C(Cc2cccc3ccccc23)C(=O)N(C)C1=O,0.341,20,Permeable,2658,22,-7.576,-0.34436363636363637,5.557
41670640,O=C(O)c1cccn(OCc2cccc3ccccc23)c1=O,0.313,20,Permeable,2729,22,-7.638,-0.3471818181818182,5.602
33675757,Cc1cc(/C=C2/C(=O)NN(c3ccccc3)C2=O)c(C)[nH]1,0.33299999999999996,24,Permeable,2772,21,-7.522,-0.3581904761904762,5.517
