ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB,XGB_score,XGB_LE
10520,5,6vzk,O=C(NCCOC(=O)c1c2c(nc3ccccc13)CCCCC2)c1ccccc1,29,0.931,-12.9,7.399,7.42091717736423,-10.117,-0.349
11592,4,6vzk,CC(C)c1noc2ncc(C(=O)N3CCN(Cc4cccc5ccccc45)CC3)cc12,31,0.903,-12.9,8.025,7.858040148019791,-10.713,-0.346
11984,4,6vzk,C[C@@H](OC(=O)c1c2c(nc3ccccc13)CCCC2)c1nnc(-c2cccs2)o1,29,0.931,-12.9,7.237,7.518135886907578,-10.25,-0.353
12333,3,6vzk,Nn1c(Cc2cccc3ccccc23)nnc1SCC(=O)c1ccc2c(c1)NC(=O)CO2,32,0.938,-12.8,7.954,8.57605994129181,-11.692,-0.365
12393,5,6vzk,C[C@H]1Cc2ccccc2N1C(=O)CSc1nnc(Cc2cccc3ccccc23)n1N,31,0.903,-13.0,7.655,7.44739559173584,-10.153,-0.328
12398,1,6vzk,CCN1C/C(=C\c2ccc(OCC(=O)O)c(OC)c2)c2nc3ccccc3c(C(=O)O)c2C1,33,0.97,-12.7,7.341,7.530843311905861,-10.267,-0.311
12466,3,6vzk,Nn1c(Cc2cccc3ccccc23)nnc1SCC(=O)Nc1ccc(F)cc1Cl,30,0.933,-12.8,7.441,7.606126770734787,-10.37,-0.346
12498,2,6vzk,Nn1c(Cc2cccc3ccccc23)nnc1SCc1nnc(-c2ccc(Cl)cc2)o1,31,0.903,-12.9,7.76,7.460957834720611,-10.172,-0.328
12924,4,6vzk,CCOC(=O)c1c(NC(=O)CSc2nnc(Cc3cccc4ccccc34)n2N)sc(C)c1C,34,0.912,-12.7,7.614,7.807408772349357,-10.644,-0.313
13013,2,6vzk,O=C(CSc1nccc(-c2cccc(OC(F)F)c2)n1)Nc1ccc(Cl)cc1Cl,29,0.931,-12.7,7.468,7.617862855672836,-10.386,-0.358
13120,5,6vzk,CCn1c(Cc2cccc3ccccc23)nnc1SCC(=O)Nc1nc(-c2ccccc2)cs1,34,0.912,-13.7,7.882999999999999,7.560349120378492,-10.307,-0.303
13234,2,7kl1,O=C(CSc1nnc(Cc2cccc3ccccc23)n1C1CCCCC1)c1ccc(Br)s1,32,0.938,-12.9,7.718,7.650099357247353,-10.43,-0.326
