ligand_id,o_index,rep,new_smile,HeavyAtomCount,ligCover,betaScore,LinF9,XGB,XGB_score,XGB_LE
11494,1,2vz6,Cc1nc(SCC(=O)Nc2sc3c(c2C(N)=O)CCCC3)c2ccccc2n1,28,1.0,-14.4,7.191,7.950472191333772,-10.839,-0.387
11535,4,2vz6,O=C(COC(=O)c1c2c(nc3ccccc13)CCCC2)Nc1ccc2c(c1)OCO2,30,0.967,-14.0,7.712999999999999,7.918248445272446,-10.795,-0.36
11859,2,2vz6,CCn1c(Cc2cccc3ccccc23)nnc1S[C@@H](C)C(=O)Nc1nccs1,29,0.966,-13.1,7.673999999999999,8.255256985664367,-11.255,-0.388
12310,1,2vz6,CCN(CC)CCN(C)C(=O)c1cnn(-c2nccc(-c3cccs3)n2)c1COC,30,1.0,-13.7,6.706,8.069144636154174,-11.001,-0.367
12317,2,2vz6,Cn1ncc2c(SCC(=O)N3CCN(Cc4cccc5ccccc45)CC3)ncnc21,31,0.968,-13.3,7.7639999999999985,8.019538642406463,-10.933,-0.353
12348,1,2vz6,COc1ccc(OC)c(NC(=O)CSc2nnc(Cc3cccc4ccccc34)n2N)c1,32,0.969,-14.6,7.7879999999999985,7.853597034990786,-10.707,-0.335
12380,2,2vz6,Nn1c(Cc2cccc3ccccc23)nnc1SCC(=O)N1CCCc2ccccc21,31,0.968,-14.5,8.068999999999999,7.868759790301322,-10.728,-0.346
12447,3,2vz6,Nc1nnc(SCC(=O)Nc2nnc(SCc3cccc4ccccc34)s2)s1,28,1.0,-14.7,7.482,8.13917440843582,-11.097,-0.396
12473,2,2vz6,CC(=O)c1cccc(NC(=O)[C@H](C)Sc2nnc(Cc3cccc4ccccc34)n2N)c1,32,1.0,-13.2,7.907,8.02560603094101,-10.942,-0.342
12608,5,2vz6,C[C@H](OC(=O)c1c2c(nc3ccccc13)CCCC2)C(=O)Nc1ccc(Cl)cc1Cl,30,0.967,-13.1,7.686,8.094930867910385,-11.036,-0.368
12647,2,2vz6,O=C(CSc1nc2ccccc2s1)Nc1ncc(Cc2cccc3ccccc23)s1,30,0.967,-13.7,7.7429999999999986,7.834179020702837,-10.681,-0.356
12753,1,2vz6,Cc1ccc(-n2nc(C(=O)Nc3cccc(Cl)c3)nc2-c2cccc(Cl)c2)cc1C,30,0.967,-13.6,7.894,7.822121417760849,-10.664,-0.355
12916,2,2vz6,C[C@H](OC(=O)c1c2c(nc3ccccc13)CCCC2)C(=O)Nc1nnc(C(F)(F)F)s1,31,0.935,-13.2,7.716,7.889747688531876,-10.756,-0.347
12924,5,2vz6,CCOC(=O)c1c(NC(=O)CSc2nnc(Cc3cccc4ccccc34)n2N)sc(C)c1C,34,0.912,-14.0,7.891,8.117538226008415,-11.067,-0.326
